#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00182	17	16	Xu	sp|P03796|Y77_BPT7 Protein 7.7
VOG00183	15	14	Xu	REFSEQ hypothetical protein
VOG00184	17	14	Xh	sp|P34081|HMUI_BPSP1 DNA endonuclease I-HmuI
VOG00185	89	89	XhXp	sp|Q37975|HOLIN_BPA18 Putative antiholin
VOG00186	14	13	Xu	REFSEQ hypothetical protein
VOG00187	32	31	Xu	REFSEQ hypothetical protein
VOG00188	152	152	Xu	sp|P18057|Y02D_BPT4 Uncharacterized 14.1 kDa protein in imm-Gp43 intergenic region
VOG00189	163	161	Xu	sp|P13328|Y03F_BPT4 Uncharacterized 7.3 kDa protein in mobB-Gp55 intergenic region
VOG00190	21	21	Xh	sp|P07719|V17_BPT3 Gene 1.7 protein
VOG00191	48	47	Xu	REFSEQ hypothetical protein
VOG00192	14	13	Xu	REFSEQ tail fiber-like protein
VOG00193	71	71	Xu	REFSEQ hypothetical protein
VOG00194	332	140	Xu	sp|P39254|Y04O_BPT4 Uncharacterized 36.3 kDa protein in nrdC-mobD intergenic region
VOG00195	18	2	Xu	REFSEQ hypothetical protein
VOG00196	67	60	Xu	sp|Q05287|VG72_BPML5 Gene 72 protein
VOG00197	39	38	Xu	sp|P20217|E51_SSV1 Uncharacterized protein E-51
VOG00198	77	62	Xu	sp|Q8QL40|Y59_SIRV1 Uncharacterized protein 59
VOG00199	34	26	Xu	REFSEQ hypothetical protein
VOG00200	77	39	Xu	REFSEQ hypothetical protein
VOG00201	18	3	Xu	sp|Q5UQ39|YL796_MIMIV Uncharacterized protein L796
VOG00202	19	12	Xu	REFSEQ hypothetical protein
VOG00203	66	61	Xu	REFSEQ hypothetical protein
VOG00204	169	162	Xu	REFSEQ hypothetical protein
VOG00205	13	12	Xu	sp|P39241|MOBD_BPT4 Probable mobile endonuclease D
VOG00206	690	690	Xu	sp|Q05225|VG19_BPML5 Gene 19 protein
VOG00207	214	212	Xr	sp|P20313|SSB_BPT3 Single-stranded DNA-binding protein
VOG00208	152	152	XpXrXs	sp|Q38584|HCP15_BPSPP Head completion protein gp15
VOG00209	83	83	Xu	REFSEQ hypothetical protein
VOG00210	573	568	Xu	sp|O64253|VG61_BPMD2 Gene 61 protein
VOG00211	24	24	Xu	REFSEQ hypothetical protein
VOG00212	163	163	Xu	REFSEQ hypothetical protein
VOG00213	54	54	Xu	REFSEQ hypothetical protein
VOG00214	96	96	Xu	sp|Q925W4|Y1253_LISIN Uncharacterized protein Lin1253/Lin1744
VOG00215	96	96	Xu	REFSEQ holin
VOG00216	77	73	Xu	REFSEQ hypothetical protein
VOG00217	448	437	Xh	sp|P32277|RLIG2_BPT4 RNA ligase 2
VOG00218	166	155	Xh	sp|P07068|PIN_BPT4 Host protease inhibitor
VOG00219	235	235	XhXr	sp|P03707|TERS_LAMBD Terminase small subunit
VOG00220	11	11	Xs	sp|Q9T1R2|FIBER_BPAPS Putative tail fiber protein gp36
VOG00221	364	364	Xs	sp|P20324|SCAF_BPT3 Capsid assembly scaffolding protein
VOG00222	276	276	XhXp	sp|P39503|SPAN2_BPT4 Spanin, outer lipoprotein subunit
VOG00223	41	18	Xu	REFSEQ putative virion structural protein
VOG00224	54	31	Xu	REFSEQ hypothetical protein
VOG00225	35	34	Xu	sp|P39507|Y14D_BPT4 Uncharacterized 14.7 kDa protein in frd-Gp32 intergenic region
VOG00226	151	149	Xu	sp|Q05292|VG77_BPML5 Gene 77 protein
VOG00227	353	352	Xr	sp|P03693|TERS_BPT7 Terminase, small subunit gp18
VOG00228	303	280	Xs	sp|Q04765|VSP1_BPLLH Structural protein
VOG00229	341	341	Xu	sp|P15032|RECE_ECOLI Exodeoxyribonuclease 8
VOG00230	11	11	Xu	REFSEQ putative phage-related tail fiber protein
VOG00231	238	238	XhXp	sp|Q6XQ99|HOLIN_BPT1 Holin
VOG00232	63	63	Xu	REFSEQ hypothetical protein
VOG00233	91	91	Xu	REFSEQ hypothetical protein
VOG00234	149	124	Xu	REFSEQ ParB-like nuclease domain protein
VOG00235	14	14	XhXpXs	sp|P03748|FIBER_BPT7 Tail fiber protein
VOG00236	41	36	Xu	REFSEQ hypothetical protein
VOG00237	45	45	Xu	REFSEQ hypothetical protein
VOG00238	17	17	Xu	sp|O34449|YOQD_BACSU SPbeta prophage-derived putative antirepressor protein YoqD
VOG00239	367	364	XhXpXs	sp|P31340|SPIKE_BPP2 Spike protein
VOG00240	107	107	Xu	REFSEQ hypothetical protein
VOG00241	411	410	XhXr	sp|P03690|VR2A_BPT4 Protein rIIA
VOG00242	264	260	XhXs	sp|P17313|VG31_BPT4 Capsid assembly protein Gp31
VOG00243	10	10	Xu	REFSEQ tail fibers protein
VOG00244	124	124	Xu	sp|P03766|Y290_LAMBD Uncharacterized nin region protein ORF290
VOG00245	178	177	Xu	REFSEQ hypothetical protein
VOG00246	88	82	Xu	sp|Q03547|VEAE_BPP22 Eae protein
VOG00247	320	191	XhXs	sp|Q38424|ALT_BPT2 NAD(+)--arginine ADP-ribosyltransferase
VOG00248	16	16	Xu	REFSEQ tail protein
VOG00249	90	90	Xu	REFSEQ holin
VOG00250	208	208	Xu	REFSEQ hypothetical protein
VOG00251	26	26	Xu	REFSEQ hypothetical protein
VOG00252	148	145	Xu	sp|P32278|Y10B_BPT4 Uncharacterized 11.0 kDa protein in Gp24-hoc intergenic region
VOG00253	91	91	Xu	REFSEQ hypothetical protein
VOG00254	17	15	Xh	sp|Q38419|TEV3_BPR03 Intron-associated endonuclease 3
VOG00255	12	12	XpXs	sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein
VOG00256	17	14	Xu	REFSEQ hypothetical protein
VOG00257	20	16	Xu	REFSEQ hypothetical protein
VOG00258	71	71	Xu	REFSEQ hypothetical protein
VOG00259	23	22	Xu	REFSEQ hypothetical protein
VOG00260	55	55	Xu	REFSEQ hypothetical protein
VOG00261	32	25	Xu	REFSEQ hypothetical protein
VOG00262	22	13	XhXp	sp|P0C775|P28_VACC8 E3 ubiquitin-protein ligase p28-like
VOG00263	59	59	Xu	sp|Q8QL42|Y207_SIRV1 Uncharacterized protein 207
VOG00264	37	35	Xu	REFSEQ hypothetical protein
VOG00265	35	35	Xu	sp|P03798|Y53_BPT7 Protein 5.3
VOG00266	31	30	Xu	REFSEQ hypothetical protein
VOG00267	22	18	Xu	REFSEQ hypothetical protein
VOG00268	109	109	Xu	REFSEQ hypothetical protein
VOG00269	22	22	Xu	sp|Q05247|VG37_BPML5 Gene 37 protein
VOG00270	20	20	Xu	REFSEQ hypothetical protein
VOG00271	102	102	Xu	REFSEQ hypothetical protein
VOG00272	23	23	Xu	REFSEQ tailspike
VOG00273	18	12	Xu	REFSEQ hypothetical protein
VOG00274	91	91	Xu	REFSEQ hypothetical protein
VOG00275	16	15	Xu	REFSEQ hypothetical protein
VOG00276	95	60	Xh	sp|P27830|RMLB2_ECOLI dTDP-glucose 4,6-dehydratase 2
VOG00277	89	89	Xu	sp|O31977|YOMH_BACSU SPbeta prophage-derived uncharacterized protein YomH
VOG00278	78	77	Xu	REFSEQ hypothetical protein
VOG00279	170	164	Xu	REFSEQ hypothetical protein
VOG00280	164	156	Xu	REFSEQ hypothetical protein
VOG00281	12	10	Xu	REFSEQ fiber protein
VOG00282	14	14	Xu	REFSEQ ead/Ea22-like family protein
VOG00283	36	9	Xh	sp|P22611|VMT8_MYXVL Kelch repeat protein M-T8
VOG00284	33	26	Xu	REFSEQ hypothetical protein
VOG00285	47	44	Xu	REFSEQ hypothetical protein
VOG00286	17	7	Xu	REFSEQ hypothetical protein
VOG00287	17	12	Xu	REFSEQ hypothetical protein
VOG00288	23	23	Xu	sp|O34401|YOPX_BACSU SPbeta prophage-derived uncharacterized protein YopX
VOG00289	27	26	Xu	REFSEQ hypothetical protein
VOG00290	13	12	Xu	REFSEQ neck passage structure
VOG00291	42	9	Xu	sp|P21100|VC16_VACCC Protein C16/B22
VOG00292	19	6	Xu	sp|Q8QL18|Y95_SIRV1 Uncharacterized protein 95
VOG00293	35	34	Xu	REFSEQ immunity repressor
VOG00294	119	116	Xu	REFSEQ hypothetical protein
VOG00295	207	191	Xu	REFSEQ hypothetical protein
VOG00296	85	71	Xu	REFSEQ hypothetical protein
VOG00297	374	372	XhXr	sp|P00581|DPOL_BPT7 DNA-directed DNA polymerase
VOG00298	58	58	Xu	REFSEQ holin
VOG00299	566	559	XhXr	sp|Q05259|THYX_BPML5 Probable flavin-dependent thymidylate synthase
VOG00300	348	347	XhXp	sp|P39504|SPAN1_BPT4 Spanin, inner membrane subunit
VOG00301	91	91	Xu	REFSEQ hypothetical protein
VOG00302	490	486	XhXr	sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda
VOG00303	43	34	Xu	sp|Q51647|YISX_BURM1 Insertion element IS401 uncharacterized 12.4 kDa protein
VOG00304	48	47	Xu	REFSEQ hypothetical protein
VOG00305	22	21	Xu	REFSEQ hypothetical protein
VOG00306	136	135	Xu	REFSEQ hypothetical protein
VOG00307	620	615	Xu	sp|O31948|YONJ_BACSU SPbeta prophage-derived uncharacterized protein YonJ
VOG00308	225	202	Xh	sp|Q55928|NADM_SYNY3 Bifunctional NMN adenylyltransferase/Nudix hydrolase
VOG00309	364	364	XhXp	sp|Q38134|HOLIN_BPR1T Holin
VOG00310	40	40	Xu	REFSEQ hypothetical protein
VOG00311	68	65	XhXp	sp|Q3T4L9|HOLIN_BPPRD Holin
VOG00312	141	103	Xu	REFSEQ hypothetical protein
VOG00313	1268	1171	Xh	sp|B6UL32|SAV_BPLP2 SaV protein
VOG00314	530	480	XhXr	sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase
VOG00315	90	90	Xu	REFSEQ DNA primase/helicase
VOG00316	480	480	Xh	sp|O48499|D14_BPT5 Protein D14
VOG00317	101	99	Xu	sp|Q5UQ73|YL509_MIMIV Uncharacterized protein L509
VOG00318	130	128	Xh	sp|Q06717|GSTG_BPT2 Beta-glucosyl-HMC-alpha-glucosyl-transferase
VOG00319	56	55	Xu	sp|Q60363|PTH_METJA Peptidyl-tRNA hydrolase
VOG00320	755	743	Xu	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease
VOG00321	51	51	Xu	REFSEQ hypothetical protein
VOG00322	78	78	Xu	REFSEQ hypothetical protein
VOG00323	172	172	Xu	REFSEQ hypothetical protein
VOG00324	51	50	Xu	REFSEQ tail assembly chaperone
VOG00325	147	147	Xu	sp|O64268|VG87_BPMD2 Gene 87 protein
VOG00326	315	314	Xu	REFSEQ terminase small subunit
VOG00327	14	12	Xu	REFSEQ DUF1642 domain-containing protein
VOG00328	240	231	Xu	sp|P32271|Y06L_BPT4 Uncharacterized 17.7 kDa protein in e-segB intergenic region
VOG00329	200	199	Xu	REFSEQ hypothetical protein
VOG00330	18	17	Xs	sp|P85503|STRU3_BPPAJ Structural protein 3
VOG00331	20	20	Xu	REFSEQ DUF3102 domain-containing protein
VOG00332	626	375	XhXs	sp|P04535|CAPSH_BPT4 Major capsid protein
VOG00333	26	26	Xu	REFSEQ hypothetical protein
VOG00334	46	43	Xu	REFSEQ hypothetical protein
VOG00335	66	59	Xu	REFSEQ hypothetical protein
VOG00336	15	14	Xu	sp|Q6GZN1|094L_FRG3G Uncharacterized protein 094L
VOG00337	92	92	Xu	REFSEQ scaffolding protein
VOG00338	183	182	XhXs	sp|P51772|BPX_BPP2 Baseplate protein X
VOG00339	386	385	Xu	sp|P04533|VG57B_BPT4 Gene 57B protein
VOG00340	83	81	Xh	sp|P55257|RMLA_YEREN Glucose-1-phosphate thymidylyltransferase
VOG00341	11	11	Xu	REFSEQ hypothetical protein
VOG00342	20	12	Xu	REFSEQ hypothetical protein
VOG00343	39	39	Xu	REFSEQ hypothetical protein
VOG00344	47	47	Xu	REFSEQ hypothetical protein
VOG00345	40	23	Xu	REFSEQ putative radical SAM superfamily protein
VOG00346	16	16	Xu	REFSEQ hypothetical protein
VOG00347	32	29	Xu	REFSEQ structural protein
VOG00348	208	204	XhXpXrXs	sp|O64332|TIPL_BPN15 Tail tip protein L
VOG00349	118	118	XhXs	sp|O64325|COMPL_BPN15 Tail completion protein
VOG00350	54	54	Xu	sp|Q9T1T1|VP17_BPAPS Putative protein p17
VOG00351	33	33	Xu	REFSEQ putative tail protein
VOG00352	36	36	Xu	REFSEQ putative amidotransferase
VOG00353	41	41	Xu	REFSEQ hypothetical protein
VOG00354	39	36	Xu	REFSEQ hypothetical protein
VOG00355	100	72	Xu	REFSEQ hypothetical protein
VOG00356	258	257	Xu	sp|P17308|Y13B_BPT4 Uncharacterized 11.5 kDa protein in Gp31-cd intergenic region
VOG00357	48	47	Xu	REFSEQ hypothetical protein
VOG00358	171	170	Xh	sp|P20833|V11_BPT3 Gene 1.1 protein
VOG00359	29	29	Xu	REFSEQ tail protein
VOG00360	16	15	Xu	REFSEQ hypothetical protein
VOG00361	17	16	Xu	REFSEQ HNH endonuclease
VOG00362	17	17	Xu	REFSEQ hypothetical protein
VOG00363	63	51	Xu	REFSEQ hypothetical protein
VOG00364	42	32	Xh	sp|Q2FX77|LYTO_STAA8 Probable autolysin LytO
VOG00365	19	19	Xu	REFSEQ hypothetical protein
VOG00366	41	41	Xu	REFSEQ hypothetical protein
VOG00367	101	84	Xu	REFSEQ hypothetical protein
VOG00368	49	49	Xu	REFSEQ hypothetical protein
VOG00369	64	64	Xu	sp|P18922|Y16J_BPT4 Uncharacterized 5.1 kDa protein in Gp52-ac intergenic region
VOG00370	57	57	Xh	sp|B2J384|SYK_NOSP7 Lysine--tRNA ligase
VOG00371	121	121	Xu	REFSEQ hypothetical protein
VOG00372	81	80	Xu	REFSEQ hypothetical protein
VOG00373	49	49	Xu	REFSEQ hypothetical protein
VOG00374	187	181	Xu	sp|P39416|Y00F_BPT4 Uncharacterized 19.7 kDa protein in motB-dexA intergenic region
VOG00375	152	81	Xu	REFSEQ high light inducible protein
VOG00376	56	55	Xu	REFSEQ hypothetical protein
VOG00377	114	113	XhXp	sp|P03706|ENLYS_LAMBD Endolysin
VOG00378	13	13	Xu	REFSEQ hypothetical protein
VOG00379	20	20	Xu	REFSEQ hypothetical protein
VOG00380	50	50	Xu	REFSEQ hypothetical protein
